Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
62,Sam Reinhart\reinhsa01,20,C,BUF,79,23,19,42,-8,8,15,8,0,3,17,2,0,165,13.9,1330,16:50,26,26,36,72,33.3
63,Claude Giroux\giroucl01,28,C,PHI,78,22,45,67,-8,53,15,6,1,5,23,21,1,241,9.1,1603,20:33,36,83,1083,798,57.6
64,Kyle Okposo\okposky01,27,RW,NYI,79,22,42,64,-4,51,15,7,0,4,26,16,0,202,10.9,1438,18:12,39,90,23,40,36.5
65,Bobby Ryan\ryanbo01,28,RW,OTT,81,22,34,56,-9,28,16,6,0,2,24,10,0,183,12.0,1391,17:10,24,106,3,8,27.3
66,Derek Stepan\stepade01,25,C,NYR,72,22,31,53,5,20,14,5,3,5,22,9,0,192,11.5,1278,17:45,39,38,515,589,46.6
67,Justin Williams\williju01,34,RW,WSH,82,22,30,52,15,36,19,3,0,3,23,6,1,201,10.9,1366,16:39,43,32,57,52,52.3
68,Patric Hornqvist\hornqpa01,29,RW,PIT,82,22,29,51,15,36,13,9,0,3,23,6,0,257,8.6,1382,16:51,54,160,5,3,62.5
69,Jarome Iginla\iginlja01,38,RW,COL,82,22,25,47,-22,41,9,13,0,3,19,6,0,182,12.1,1301,15:52,45,70,61,54,53.0
70,J.T. Miller\millejt01,22,C,NYR,82,22,21,43,10,46,20,2,0,5,19,2,0,135,16.3,1233,15:02,48,174,68,89,43.3
71,Jamie McGinn\mcginja01,27,LW,TOT,84,22,17,39,-7,33,13,9,0,5,14,3,0,156,14.1,1201,14:18,27,164,4,3,57.1
72,Jannik Hansen\hanseja01,29,RW,VAN,67,22,16,38,16,32,20,1,1,5,16,0,0,117,18.8,1101,16:26,19,39,6,15,28.6
73,Ryan O'Reilly\oreilry01,24,C,BUF,71,21,39,60,-16,8,12,8,1,2,25,14,0,157,13.4,1543,21:44,43,17,1024,788,56.5
74,Mark Giordano\giordma01,32,D,CGY,82,21,35,56,-5,54,11,9,1,2,23,10,2,212,9.9,2032,24:47,193,65,0,0,
75,Oliver Ekman-Larsson\ekmanol01,24,D,ARI,75,21,34,55,-6,96,9,12,0,8,19,15,0,228,9.2,1858,24:46,67,154,0,0,
76,Ryan Kesler\keslery01,31,C,ANA,79,21,32,53,5,78,15,5,1,4,22,10,0,164,12.8,1543,19:32,92,168,980,695,58.5
77,Nathan MacKinnon\mackina01,20,C,COL,72,21,31,52,-4,20,14,7,0,6,21,9,1,245,8.6,1358,18:52,53,46,507,540,48.4
78,Mika Zibanejad\zibanmi01,22,C,OTT,81,21,30,51,-2,18,17,2,2,7,21,9,0,184,11.4,1439,17:46,43,111,659,647,50.5
79,Victor Rask\raskvi01,22,C,CAR,80,21,27,48,-6,24,16,5,0,5,14,13,0,160,13.1,1359,16:59,34,32,479,456,51.2
